name,cost,size,category
6060616578383,64204.84999999976,7079,behavior
6027148973583,56567.780000000064,6898,behavior
6016286626383,59970.66999999986,7053,behavior
6023287393783,62379.79000000013,7175,behavior
6008261969983,65184.7200000001,6992,behavior
6004383049972,63873.109999999964,7157,behavior
6017253531383,65767.71999999987,7231,behavior
6028974351183,64763.70000000001,7088,behavior
6023356956983,67861.44999999988,7203,behavior
6056265200983,65334.76000000009,7099,behavior
6071248981583,64656.91000000007,7010,behavior
6004854404172,64441.960000000094,7240,behavior
6023287351383,65493.46999999995,7003,behavior
6015593652183,63284.86000000002,6982,behavior
6004383890572,61612.19999999992,6906,behavior
6080562681983,58974.88999999991,6725,behavior
6023287397383,55850.0700000001,6818,behavior
6004385865172,61919.89000000012,7299,behavior
6016925328983,56562.58999999997,6891,behavior
6080562616983,60948.999999999956,6957,behavior
6023676048183,61063.61999999996,6996,behavior
6071631541183,61620.74000000001,7197,behavior
6023356562783,65574.16999999994,7237,behavior
6092145447383,64613.36999999988,6960,behavior
6016925643983,60515.030000000035,6926,behavior
6063268655983,58923.80000000004,6903,behavior
6010095794383,62830.790000000045,6974,behavior
6043523344783,61665.18000000008,6974,behavior
6046095968983,63978.13999999988,7035,behavior
6015441244983,61191.16,6904,behavior
6004948896972,65937.14999999994,7099,behavior
6023422105983,63407.90999999992,7026,behavior
6023676045583,65286.40999999986,7123,behavior
6075237226583,63992.91999999986,7002,behavior
6010095777183,61019.63999999998,6953,behavior
6006298077772,62167.890000000014,7064,behavior
6017521095183,61641.83000000003,6945,behavior
6042330550783,63976.61000000018,7165,behavior
6004385879572,58084.87999999992,7007,behavior
6023676028783,64658.71999999992,7251,behavior
6023287438783,61087.90000000003,6972,behavior
6004383808772,57666.83000000006,6954,behavior
6004948896772,62267.389999999956,7055,behavior
6063136545383,60826.779999999984,7057,behavior
6011244510983,61282.63000000011,7005,behavior
6071249058983,62904.46000000005,7011,behavior
6019221046583,59348.840000000135,6901,behavior
6022430911783,58780.56999999998,6868,behavior
6004386303972,66172.43999999997,7080,behavior
6023516368383,65991.6,7146,behavior
6065048233383,63116.549999999916,6945,behavior
6046096201583,66234.60999999996,7041,behavior
6002714898572,67470.31,7048,behavior
6009609054383,63805.08999999986,6942,behavior
6085888777383,64360.95999999984,7117,behavior
6055133998183,62000.2699999999,7048,behavior
6017251892583,63898.82000000002,7094,behavior
6023460563383,56134.250000000095,6855,behavior
6014808618583,60004.610000000066,7040,behavior
6017253511583,61284.6200000001,7015,behavior
6023516430783,59583.51000000009,6918,behavior
6019673501783,65357.029999999926,6938,behavior
6023460590583,61144.029999999984,7020,behavior
